Variable Name,Description
NBR_1990,NBR_1990 = Normalized burn ratio in 1990 (derived from LandTrendr)
NBR_1991,NBR_1991 = Normalized burn ratio in 1991 (derived from LandTrendr)
NBR_1992,NBR_1992 = Normalized burn ratio in 1992 (derived from LandTrendr)
NBR_1993,NBR_1993 = Normalized burn ratio in 1993 (derived from LandTrendr)
NBR_1994,NBR_1994 = Normalized burn ratio in 1994 (derived from LandTrendr)
NBR_1995,NBR_1995 = Normalized burn ratio in 1995 (derived from LandTrendr)
NBR_1996,NBR_1996 = Normalized burn ratio in 1996 (derived from LandTrendr)
NBR_1997,NBR_1997 = Normalized burn ratio in 1997 (derived from LandTrendr)
NBR_1998,NBR_1998 = Normalized burn ratio in 1998 (derived from LandTrendr)
NBR_1999,NBR_1999 = Normalized burn ratio in 1999 (derived from LandTrendr)
NBR_2000,NBR_2000 = Normalized burn ratio in 2000 (derived from LandTrendr)
NBR_2001,NBR_2001 = Normalized burn ratio in 2001 (derived from LandTrendr)
NBR_2002,NBR_2002 = Normalized burn ratio in 2002 (derived from LandTrendr)
NBR_2003,NBR_2003 = Normalized burn ratio in 2003 (derived from LandTrendr)
NBR_2004,NBR_2004 = Normalized burn ratio in 2004 (derived from LandTrendr)
NBR_2005,NBR_2005 = Normalized burn ratio in 2005 (derived from LandTrendr)
NBR_2006,NBR_2006 = Normalized burn ratio in 2006 (derived from LandTrendr)
NBR_2007,NBR_2007 = Normalized burn ratio in 2007 (derived from LandTrendr)
NBR_2008,NBR_2008 = Normalized burn ratio in 2008 (derived from LandTrendr)
NBR_2009,NBR_2009 = Normalized burn ratio in 2009 (derived from LandTrendr)
NBR_2010,NBR_2010 = Normalized burn ratio in 2010 (derived from LandTrendr)
NBR_2011,NBR_2011 = Normalized burn ratio in 2011 (derived from LandTrendr)
NBR_2012,NBR_2012 = Normalized burn ratio in 2012 (derived from LandTrendr)
NBR_2013,NBR_2013 = Normalized burn ratio in 2013 (derived from LandTrendr)
NBR_2014,NBR_2014 = Normalized burn ratio in 2014 (derived from LandTrendr)
NBR_2015,NBR_2015 = Normalized burn ratio in 2015 (derived from LandTrendr)
NBR_2016,NBR_2016 = Normalized burn ratio in 2016 (derived from LandTrendr)
